Si,Al,NaOH,NaCl,OSDA,cryst_temp,cryst_time,Si_cost,Al_cost,NaOH_cost,NaCl_cost,OSDA_cost,total_cost,PCA 1,PCA 2,t-SNE 1,t-SNE 2,likelihood
1.0,0.15400000221760002,1.130680662572788,0.0,0.2774611827331871,140.0,2.8980734,0.036,0.008008000115315201,0.009836921764383257,0.0,52.71762471930555,52.77146964118525,5.727260150428673,4.9494240220221695,30.154037475585938,26.170730590820312,1.966800601104317e-09
1.0,0.1,0.61540105,0.0,0.275,140.0,4.0,0.036,0.0052,0.005353989135,0.0,52.25000000000001,52.296553989135006,3.1037690245220495,2.648561432029481,25.844297409057617,25.41759490966797,3.510415790889089e-08
1.0,0.08,0.49961884320000005,0.0,0.27,140.0,4.953171,0.036,0.00416,0.00434668393584,0.0,51.300000000000004,51.34450668393585,2.4648292370454086,1.9361038283301995,22.01486587524414,25.94620704650879,2.0908857227572623e-08
1.0,0.03333333333333333,0.3253863333333334,0.03456543399999995,0.2678518006666667,160.0,2.8187296,0.036,0.0017333333333333333,0.0028308611,0.00023850149459999964,50.891842126666674,50.93264482259461,1.8460653591435814,-0.368193463785998,41.48366928100586,-12.273904800415039,2.774036066676273e-07
1.0,0.07025290906758512,0.5328675787439145,0.0,0.2675632272668963,140.0,4.0,0.036,0.0036531512715144263,0.004635947935072056,0.0,50.837013180710294,50.88130227991688,2.5963106276091374,1.7639578400978926,23.060548782348633,25.127635955810547,4.051967369273018e-08
1.0,0.06600000066,0.6996510850331797,0.0,0.266500000165,160.0,4.0,0.036,0.00343200003432,0.006086964439788663,0.0,50.635000031349996,50.6805189958241,3.8676042756647036,1.0634419691634618,48.45658493041992,10.113612174987793,9.310514343712463e-07
1.0,0.06315969113142565,0.7596231340427009,0.0,0.2657899227828564,160.0,4.0,0.036,0.003284303938834134,0.006608721266171497,0.0,50.50008532874271,50.54597835394772,4.151753557095778,1.1085683551399381,48.44140625,11.339641571044922,7.696330127468731e-07
1.0,0.07336705478816877,0.3333033010289818,0.0,0.2657435392032103,160.0,4.0,0.036,0.003815086848984776,0.0028997387189521415,0.0,50.49127244860996,50.533987274177896,2.075729757680411,0.5424144983312811,47.57648468017578,-10.186372756958008,1.5360365463729382e-06
1.0,0.06249416851290064,0.4835371967366226,0.03130023883399696,0.2649668463574924,160.0,4.0,0.036,0.003249696762670833,0.004206773611608617,0.00021597164795457904,50.343700807923554,50.38737324994579,2.649629104146466,0.6309813582917227,48.65354919433594,3.5932071208953857,1.461095022726573e-06
1.0,0.06944483507164172,0.3666563276754994,0.0,0.26471406543989934,140.0,4.9010067,0.036,0.003611131423725369,0.0031899100507768443,0.0,50.295672433580876,50.33847347505538,1.7546967393503812,1.4229353109892,17.09762954711914,27.796810150146484,2.1794636747109603e-08
1.0,0.09987598399067878,0.4190003958036107,0.0,0.26439325945996556,140.0,4.0,0.036,0.005193551167515296,0.0036453034434914128,0.0,50.234719297393454,50.27955815200446,2.05278936492359,2.2647814098037404,19.66507339477539,28.524028778076172,4.467941346925152e-08
1.0,0.05702317364753863,0.4999830070274504,0.0,0.26425579341188465,160.0,2.613746,0.036,0.0029652050296720086,0.004349852161138818,0.0,50.208600748258085,50.251915805448895,2.8610346823822788,0.46643923547991034,48.02002716064453,3.936331272125244,1.9118392833249998e-07
1.0,0.05702317364753863,0.4999830070274504,0.0,0.26425579341188465,160.0,2.613746,0.036,0.0029652050296720086,0.004349852161138818,0.0,50.208600748258085,50.251915805448895,2.8610346823822788,0.46643923547991034,48.02002716064453,3.936331272125244,1.9118392833249998e-07
1.0,0.05371937653076721,0.3161158129592302,0.0,0.2634298441326918,160.0,4.0,0.036,0.0027934075795998945,0.0027502075727453023,0.0,50.051670385211445,50.09321400036379,1.9450967706572124,0.03081598584498066,45.44355773925781,-10.546689987182617,1.5354490749845408e-06
1.0,0.052401132556158164,0.36081293943387754,0.0,0.26310028313903955,160.0,2.8064783,0.036,0.0027248588929202244,0.0031390725730747345,0.0,49.989053796417515,50.03091772788351,2.1624095765757994,0.08716839136740595,45.62770462036133,-8.908995628356934,2.7109062760409397e-07
1.0,0.05,0.4841912775,0.0,0.2625,160.0,4.0,0.036,0.0026,0.00421246411425,0.0,49.875,49.91781246411425,2.7561115230314646,0.26092367373519443,46.831790924072266,3.310715436935425,1.4436814287734142e-06
1.0,0.05,0.682915275,0.0,0.2621668455,160.0,4.0,0.036,0.0026,0.0059413628925,0.0,49.811700645,49.856242007892504,3.7274588972609846,0.6402844531445877,47.770118713378906,9.826810836791992,9.81059145262975e-07
1.0,0.05,0.783558195,0.0,0.2614602165,160.0,5.0,0.036,0.0026,0.0068169562965,0.0,49.677441135,49.7228580912965,4.212602313856492,0.8294398146216868,48.197628021240234,11.763056755065918,4.924334542607791e-07
